"ID","Player","Team","Position","RkOv","Status","Roster Status","Age","Opponent","FPts","FP/G","Ros","+/-","GP","G","A","+/-","SOG","PPP","SHP","Hit","Blk"
"*02f9l*","Nathan MacKinnon","COL","F","1","Mando18","Active","30","","187","11.69","100%","0%","16","14","15","13","71","8","0","14","9"
"*05y3a*","Leo Carlsson","ANA","F","2","Mando18","Active","20","","148","9.87","95%","+2.7%","15","10","15","11","37","9","3","2","9"
"*04y4m*","Connor Bedard","CHI","F","3","Olilapat","Active","20","","146.5","9.16","100%","+0.1%","16","9","16","10","52","8","0","5","6"
"*05w9c*","Macklin Celebrini","SJS","F","4","Mando18","Active","19","","145.5","9.09","100%","0%","16","10","14","7","49","7","0","13","10"
"*05rjd*","Cutter Gauthier","ANA","F","5","DJCarrot","Active","21","","144","9.6","96%","+5.3%","15","11","9","12","69","4","0","13","6"
"*04alw*","Cale Makar","COL","D","7","DJCarrot","Active","27","","141","8.81","100%","0%","16","6","16","12","42","7","0","10","29"
"*03924*","Jack Eichel","VGK","F","6","Boeuf_","Active","29","FLA Mon 10:00PM","141","10.07","100%","0%","14","8","14","7","60","10","0","4","10"
"*03rh3*","Kirill Kaprizov","MIN","F","8","Doumi","Active","28","","129.5","7.62","100%","0%","17","10","12","-3","53","9","0","6","7"
"*05tqt*","Wyatt Johnston","DAL","F","9","DJCarrot","Active","22","","129","8.06","100%","+0.2%","16","10","10","-5","50","12","0","5","17"
"*03d12*","David Pastrnak","BOS","F","10","SamBleau","Reserve","29","","128.5","7.56","100%","0%","17","8","11","-3","60","8","0","29","4"
"*03mn9*","Mikko Rantanen","DAL","F","12","MagicFac","Active","29","","127.5","7.97","100%","0%","16","8","13","-5","45","12","0","15","11"
"*03167*","Bo Horvat","NYI","F","11","SamBleau","Active","30","@NJD Mon 7:00PM","127.5","8.5","93%","+1.5%","15","11","7","8","54","6","1","9","3"
"*04mv2*","Cole Caufield","MTL","F","14","MagicFac","Active","24","","126.5","8.43","100%","0%","15","12","6","9","39","6","0","17","5"
"*03jxy*","Auston Matthews","TOR","F","15","Bigdawn","Active","28","","126","7.88","99%","0%","16","9","5","9","65","2","0","12","31"
"*049k7*","Martin Necas","COL","F","17","DaddyX23","Active","26","","123","7.69","100%","0%","16","9","10","10","36","6","0","17","5"
"*00454*","Sidney Crosby","PIT","F","16","Pleka","Active","38","","123","7.24","100%","0%","17","11","9","0","39","7","0","14","8"
"*01c12*","John Tavares","TOR","F","18","SamBleau","Active","35","","122.5","7.66","100%","+0.1%","16","9","12","3","47","4","0","14","4"
"*02noj*","Tom Wilson","WSH","F","19","Boeuf_","Active","31","","122","8.13","92%","+0.4%","15","9","7","6","34","5","0","45","6"
"*03kra*","Kyle Connor","WPG","F","20","DaddyX23","Active","28","","120.5","8.03","100%","0%","15","9","9","8","58","3","2","6","2"
"*03duf*","Dylan Larkin","DET","F","21","MagicFac","Active","29","","120.5","7.53","99%","0%","16","9","10","6","51","5","0","6","7"
"*03e1n*","Adrian Kempe","LAK","F","22","Fred_Lan","Active","29","","119.5","7.47","100%","0%","16","6","11","1","50","5","1","34","9"
"*04qy5*","Kirill Marchenko","CBJ","F","23","DJCarrot","Active","25","@EDM Mon 8:30PM","119","8.5","99%","0%","14","8","8","10","51","4","1","13","11"
"*048xc*","Nick Suzuki","MTL","F","25","Pouding_","Active","26","","118.5","7.9","100%","0%","15","4","16","11","33","9","0","8","11"
"*02azb*","Mark Scheifele","WPG","F","24","Fred_Lan","Active","32","","118.5","7.9","100%","0%","15","9","12","6","37","5","1","3","5"
"*02yjl*","Leon Draisaitl","EDM","F","26","Pleka","Active","30","CBJ Mon 8:30PM","117.5","7.34","100%","0%","16","10","8","1","41","10","1","7","4"
"*05tur*","Matthew Knies","TOR","F","27","Bigdawn","Active","23","","117.5","7.34","99%","0%","16","5","15","4","33","2","0","40","8"
"*02unz*","Nick Schmaltz","UTA","F","28","Fred_Lan","Active","29","","116.5","7.28","93%","0%","16","9","10","2","50","6","0","3","8"
"*02un4*","Connor McDavid","EDM","F","29","Pleka","Active","28","CBJ Mon 8:30PM","115.5","7.22","100%","0%","16","5","17","-6","49","11","1","2","4"
"*04xec*","Matt Boldy","MIN","F","30","Doumi","Active","24","","115","6.76","100%","-0.1%","17","8","9","-2","55","8","0","11","10"
"*04bdb*","Jack Hughes","NJD","F","31","Mando18","Active","24","NYI Mon 7:00PM","114.5","7.63","100%","0%","15","10","8","0","55","5","0","2","9"
"*0045k*","Evgeni Malkin","PIT","F","32","MagicFac","Reserve","39","","114","6.71","89%","+1%","17","3","18","5","43","9","0","7","3"
"*02yjj*","William Nylander","TOR","F","33","SamBleau","Active","29","","113.5","8.73","99%","+0.1%","13","8","15","6","25","4","0","2","6"
"*03rik*","Troy Terry","ANA","F","35","Pouding_","Active","28","","111.5","7.43","85%","+6.5%","15","5","14","13","34","6","3","0","2"
"*04ln4*","Kiefer Sherwood","VAN","F","34","Bigdawn","Active","30","","111.5","6.56","71%","+0.3%","17","10","1","-3","33","2","1","71","10"
"*051z0*","Tim Stutzle","OTT","F","36","Boeuf_","Reserve","23","","111","6.94","100%","+0.1%","16","8","8","3","44","4","0","21","11"
"*05gvq*","Seth Jarvis","CAR","F","37","DaddyX23","Active","23","","109.5","7.3","99%","-0.1%","15","10","5","5","52","1","1","14","7"
