"ID","Player","Team","Position","RkOv","Status","Roster Status","Age","Opponent","FPts","FP/G","Ros","+/-"
"*03924*","Jack Eichel","VGK","F","1","Boeuf_","Active","28","@CAR Tue 6:30PM","101","11.22","100%","-0.1%"
"*02unz*","Nick Schmaltz","UTA","F","2","Fred_Lan","Reserve","29","@EDM Tue 9:30PM","100.5","10.05","92%","-2%"
"*02f9l*","Nathan MacKinnon","COL","F","3","Mando18","Active","30","NJD Tue 9:00PM","96","9.6","100%","0%"
"*03e1n*","Adrian Kempe","LAK","F","4","Fred_Lan","Active","29","@SJS Tue 11:00PM","91.5","9.15","100%","0%"
"*03d12*","David Pastrnak","BOS","F","6","SamBleau","Active","29","NYI Tue 7:15PM","83.5","7.59","100%","-0.1%"
"*03duf*","Dylan Larkin","DET","F","5","MagicFac","Active","29","@STL Tue 8:15PM","83.5","9.28","99%","0%"
"*05w9c*","Macklin Celebrini","SJS","F","7","Mando18","Active","19","LAK Tue 11:00PM","83","9.22","100%","+0.1%"
"*00454*","Sidney Crosby","PIT","F","8","Pleka","Active","38","@PHI Tue 6:00PM","83","8.3","100%","-0.1%"
"*02azb*","Mark Scheifele","WPG","F","9","Fred_Lan","Active","32","@MIN Tue 8:00PM","83","9.22","100%","0%"
"*04alw*","Cale Makar","COL","D","11","DJCarrot","Active","26","NJD Tue 9:00PM","82","8.2","100%","-0.1%"
"*04bdb*","Jack Hughes","NJD","F","10","Mando18","Active","24","@COL Tue 9:00PM","82","9.11","100%","0%"
"*0045k*","Evgeni Malkin","PIT","F","12","MagicFac","Active","39","@PHI Tue 6:00PM","81.5","8.15","84%","-3%"
"*04o0h*","Dylan Guenther","UTA","F","13","Olilapat","Active","22","@EDM Tue 9:30PM","80.5","8.05","99%","+0.1%"
"*03rh3*","Kirill Kaprizov","MIN","F","15","Doumi","Active","28","WPG Tue 8:00PM","79","7.9","100%","0%"
"*05ui2*","Logan Cooley","UTA","F","14","Pouding_","Reserve","21","@EDM Tue 9:30PM","79","7.9","98%","-0.2%"
"*02noj*","Tom Wilson","WSH","F","16","Boeuf_","Active","31","@DAL Tue 8:30PM","77.5","8.61","92%","-0.6%"
"*049k7*","Martin Necas","COL","F","18","DaddyX23","Active","26","NJD Tue 9:00PM","77","7.7","100%","-0.1%"
"*03jw0*","Joey Daccord","SEA","G","19","MagicFac","Reserve","29","MTL Tue 10:30PM","76.8","10.97","88%","-1.7%"
"*04mtp*","Dylan Cozens","OTT","F","20","Bigdawn","Active","24","@CHI Tue 8:45PM","76.5","7.65","90%","-1.4%"
"*048xc*","Nick Suzuki","MTL","F","21","Pouding_","Active","26","@SEA Tue 10:30PM","76","7.6","100%","-0.1%"
"*02yjl*","Leon Draisaitl","EDM","F","22","Pleka","Active","30","UTA Tue 9:30PM","75.5","7.55","100%","0%"
"*04mv2*","Cole Caufield","MTL","F","23","MagicFac","Active","24","@SEA Tue 10:30PM","74.5","7.45","100%","+0.1%"
"*05gvq*","Seth Jarvis","CAR","F","24","DaddyX23","Active","23","VGK Tue 6:30PM","73.5","9.19","100%","0%"
"*04xec*","Matt Boldy","MIN","F","25","Doumi","Active","24","WPG Tue 8:00PM","73","7.3","100%","0%"
"*05tqt*","Wyatt Johnston","DAL","F","26","DJCarrot","Active","22","WSH Tue 8:30PM","73","8.11","100%","0%"
"*02o7s*","Connor Hellebuyck","WPG","G","27","Fred_Lan","Active","32","@MIN Tue 8:00PM","72.85","10.41","100%","-0.2%"
"*03mn8*","Clayton Keller","UTA","F","28","Doumi","Active","27","@EDM Tue 9:30PM","72","7.2","100%","0%"
"*01zvf*","Mark Stone","VGK","F","29","Fred_Lan","Reserve","33","@CAR Tue 6:30PM","72","12","91%","-1.7%"
"*03mn9*","Mikko Rantanen","DAL","F","32","MagicFac","Active","28","WSH Tue 8:30PM","71.5","7.94","99%","0%"
"*03jxy*","Auston Matthews","TOR","F","31","Bigdawn","Active","28","CGY Tue 6:00PM","71.5","7.94","99%","-0.1%"
"*048w3*","Justin Brazeau","PIT","F","30","SamBleau","Active","27","@PHI Tue 6:00PM","71.5","7.15","53%","-5.4%"
"*03kra*","Kyle Connor","WPG","F","33","DaddyX23","Active","28","@MIN Tue 8:00PM","71","7.89","100%","0%"
"*031pl*","Juuse Saros","NSH","G","35","Doumi","Active","30","TBL Tue 7:45PM","71","8.88","90%","-1.3%"
"*03m26*","Conor Garland","VAN","F","34","DaddyX23","Active","29","NYR Tue 10:00PM","71","7.1","65%","-4.3%"
"*051lz*","Shane Pinto","OTT","F","36","Olilapat","Active","24","@CHI Tue 8:45PM","70.5","7.05","82%","-4.8%"
"*051z0*","Tim Stutzle","OTT","F","39","Boeuf_","Active","23","@CHI Tue 8:45PM","69","6.9","99%","-0.1%"
"*03167*","Bo Horvat","NYI","F","37","SamBleau","Reserve","30","@BOS Tue 7:15PM","69","8.62","90%","-1.5%"
"*02ybk*","Artturi Lehkonen","COL","F","38","DaddyX23","Active","30","NJD Tue 9:00PM","69","6.9","83%","-3.1%"
"*04bii*","Spencer Knight","CHI","G","41","DaddyX23","Active","24","OTT Tue 8:45PM","67.65","11.28","77%","-3.2%"
"*04dwj*","Jason Robertson","DAL","F","42","Bigdawn","Active","26","WSH Tue 8:30PM","67","7.44","100%","0%"
"*01c12*","John Tavares","TOR","F","43","SamBleau","Reserve","35","CGY Tue 6:00PM","67","7.44","99%","-0.1%"
"*042ye*","Jesper Bratt","NJD","F","44","Pouding_","Active","27","@COL Tue 9:00PM","66.5","7.39","100%","-0.2%"
"*04qy5*","Kirill Marchenko","CBJ","F","45","DJCarrot","Active","25","@BUF Tue 6:45PM","66","8.25","99%","-0.3%"
