Player,Team,Status,Cap Hit (M$)
Pavel Mintyukov,ANA,Bigdawn,0.775
Sam Bennett,FLA,Bigdawn,0.775
Sam Dickinson,SJS,Bigdawn,0.775
Dante Fabbro,CBJ,Bigdawn,0.775
Thomas Chabot,OTT,Bigdawn,0.775
JJ Peterka,UTA,Bigdawn,0.775
Barrett Hayton,UTA,Bigdawn,0.775
Gabe Perreault,NYR,Bigdawn,0.775
Cam Fowler,STL,Bigdawn,0.775
Matthew Knies,TOR,Bigdawn,0.775
Dylan Cozens,OTT,Bigdawn,0.775
Esa Lindell,DAL,Bigdawn,0.775
Jason Robertson,DAL,Bigdawn,0.775
Auston Matthews,TOR,Bigdawn,0.775
Kashawn Aitcheson,NYI,Bigdawn,0.775
Logan Stankoven,CAR,Bigdawn,0.775
Lane Hutson,MTL,Bigdawn,0.775
William Horcoff,PIT,Bigdawn,0.775
Frank Nazar,CHI,Bigdawn,0.775
Nico Hischier,NJD,Bigdawn,0.775
Gabriel Landeskog,COL,Bigdawn,0.775
Brady Martin,NSH,Bigdawn,0.775
,,TOTAL POUR Bigdawn,17.05
Ryan Nugent-Hopkins,EDM,Boeuf_,0.775
Vincent Trocheck,NYR,Boeuf_,0.775
Andrei Svechnikov,CAR,Boeuf_,0.775
Tim Stutzle,OTT,Boeuf_,0.775
Noah Hanifin,VGK,Boeuf_,0.775
Tom Wilson,WSH,Boeuf_,0.775
Matt Coronato,CGY,Boeuf_,0.775
Jack Eichel,VGK,Boeuf_,0.775
Gustav Forsling,FLA,Boeuf_,0.775
Pavel Dorofeyev,VGK,Boeuf_,0.775
Thomas Harley,DAL,Boeuf_,0.775
Alex DeBrincat,DET,Boeuf_,0.775
Cullen Potter,CGY,Boeuf_,0.775
Martin Fehervary,WSH,Boeuf_,0.775
Ivan Barbashev,VGK,Boeuf_,0.775
James Hagens,BOS,Boeuf_,0.775
Anton Lundell,FLA,Boeuf_,0.775
Marco Rossi,MIN,Boeuf_,0.775
Evan Bouchard,EDM,Boeuf_,0.775
Ridly Greig,OTT,Boeuf_,0.775
Mackie Samoskevich,FLA,Boeuf_,0.775
Braden Schneider,NYR,Boeuf_,0.775
Malcolm Spence,NYR,Boeuf_,0.775
Travis Konecny,PHI,Boeuf_,0.775
,,TOTAL POUR Boeuf_,18.60
Will Smith,SJS,DJCarrot,0.775
Brandon Hagel,TBL,DJCarrot,0.775
Wyatt Johnston,DAL,DJCarrot,0.775
Miro Heiskanen,DAL,DJCarrot,0.775
Benjamin Kindel,PIT,DJCarrot,0.775
Sean Monahan,CBJ,DJCarrot,0.775
Mason Marchment,SEA,DJCarrot,0.775
Shayne Gostisbehere,CAR,DJCarrot,0.775
Nikolaj Ehlers,CAR,DJCarrot,0.775
Ivan Demidov,MTL,DJCarrot,0.775
