Player,Cap Hit (M$)
Jack Eichel,10.0
Nick Schmaltz,5.85
Nathan MacKinnon,12.6
Adrian Kempe,5.5
David Pastrnak,11.25
Dylan Larkin,8.7
Macklin Celebrini,0.975
Mark Scheifele,8.5
Cale Makar,9.0
Jack Hughes,8.0
Dylan Guenther,7.142875
Kirill Kaprizov,9.0
Logan Cooley,0.95
Tom Wilson,6.5
Alex Lyon,1.5
Martin Necas,6.5
Joey Daccord,0.775
Nick Suzuki,7.875
Leon Draisaitl,14.0
Cole Caufield,7.85
Seth Jarvis,7.420087
Matt Boldy,0.775
Wyatt Johnston,8.4
Connor Hellebuyck,8.5
Clayton Keller,7.15
Mark Stone,9.5
Auston Matthews,13.25
Kyle Connor,7.142857
Mikko Rantanen,12.0
Juuse Saros,7.74
Conor Garland,4.95
Dylan Cozens,7.1
Evgeni Malkin,6.1
Bo Horvat,8.5
Artturi Lehkonen,4.5
Brad Marchand,5.25
Spencer Knight,4.5
Jason Robertson,7.75
John Tavares,4.38928
Jesper Bratt,7.875
Sidney Crosby,8.7
Kirill Marchenko,3.85
Logan Thompson,5.85
Igor Shesterkin,11.5
Shane Pinto,3.75
Jakub Dobes,0.965
Dmitry Voronkov,0.775
Kiefer Sherwood,1.5
Emmitt Finnie,0.821667
Sergei Bobrovsky,10.0
Scott Wedgewood,1.5
William Nylander,11.5
Elias Pettersson,11.6
Pavel Dorofeyev,1.835
Timo Meier,8.8
Karel Vejmelka,4.75
Thatcher Demko,5.0
Matthew Knies,7.75
Tage Thompson,7.142857
Jake Guentzel,9.0
Justin Brazeau,1.5
Mikhail Sergachev,8.5
Emil Heineman,1.1
Connor McDavid,12.5
Cutter Gauthier,0.95
Sebastian Aho,9.75
Filip Forsberg,8.5
Ryan Nugent-Hopkins,5.125
Frank Nazar,0.95
Jaden Schwartz,5.5
Blake Coleman,4.9
Juraj Slafkovsky,7.6
Jordan Eberle,4.75
Jake Oettinger,8.25
Mitch Marner,0.775
Valeri Nichushkin,6.125
Dawson Mercer,4.0
Filip Gustavsson,3.75
Dylan Strome,5.0
Jake Allen,1.8
Arturs Silovs,0.85
Kevin Fiala,7.875
Nico Hischier,7.25
Morgan Geekie,5.5
Joel Eriksson Ek,0.775
Elias Lindholm,7.75
Ryan OReilly,4.5
Aliaksei Protas,3.375
Rickard Rakell,5.0
Mike Matheson,4.875
Jeremy Swayman,8.25
Pavel Zacha,4.75
Jacob Trouba,8.0
Jakob Chychrun,9.0
Leo Carlsson,0.95
William Eklund,0.863333
Troy Terry,7.0
Josh Morrissey,6.25
Darnell Nurse,9.25
Lane Hutson,0.95
Tomas Hertl,8.1375
Ryan Donato,4.0
Mackie Samoskevich,0.775
Anders Lee,7.0
Victor Hedman,8.0
Alex Ovechkin,9.5
JJ Peterka,0.775
Dmitry Orlov,6.5
Adam Fox,9.5
Anthony Cirelli,6.25
Dustin Wolf,0.85
Connor Bedard,0.95
Alex Tuch,4.75
Roope Hintz,8.45
John Carlson,8.0
Anthony Mantha,2.5
Quinton Byfield,6.25
Ivan Barbashev,5.0
Tristan Jarry,5.375
Tim Stutzle,0.775
Matthew Schaefer,0.975
Anton Lundell,5.0
Nikita Zadorov,5.0
Brenden Dillon,4.0
Daniel Vladar,0.775
Alex DeBrincat,7.875
