Player,Team,Roster Status,Status,Cap Hit (M$)
Brady Martin,NSH,Minors,Bigdawn,0.975
Gabe Perreault,NYR,Minors,Bigdawn,0.941667
Kiefer Sherwood,VAN,Active,Bigdawn,1.5
Thomas Chabot,OTT,Active,Bigdawn,8.0
Thatcher Demko,VAN,Active,Bigdawn,5.0
Jacob Trouba,ANA,Reserve,Bigdawn,8.0
Frank Nazar,CHI,Inj Res,Bigdawn,0.95
Jason Robertson,DAL,Reserve,Bigdawn,7.75
Sam Dickinson,SJS,Minors,Bigdawn,0.9425
Leevi Merilainen,OTT,Minors,Bigdawn,1.05
Dylan Cozens,OTT,Active,Bigdawn,7.1
Pavel Mintyukov,ANA,Minors,Bigdawn,0.918333
Dante Fabbro,CBJ,Active,Bigdawn,4.125
Logan Stankoven,CAR,Minors,Bigdawn,0.814167
Pavel Zacha,BOS,Reserve,Bigdawn,4.75
Logan Thompson,WSH,Active,Bigdawn,5.85
Esa Lindell,DAL,Active,Bigdawn,5.25
Trevor Zegras,PHI,Reserve,Bigdawn,5.75
Matthew Knies,TOR,Active,Bigdawn,7.75
Devon Levi,BUF,Minors,Bigdawn,0.8125
JJ Peterka,UTA,Active,Bigdawn,0.775
Kashawn Aitcheson,NYI,Minors,Bigdawn,0.775
Auston Matthews,TOR,Active,Bigdawn,13.25
Nico Hischier,NJD,Active,Bigdawn,7.25
William Horcoff,PIT,Minors,Bigdawn,0.775
Lane Hutson,MTL,Active,Bigdawn,0.95
,,,TOTAL POUR Bigdawn,101.05
John Carlson,WSH,Active,Boeuf_,8.0
Matt Coronato,CGY,Minors,Boeuf_,6.5
Anton Lundell,FLA,Active,Boeuf_,5.0
Sam Montembeault,MTL,Active,Boeuf_,3.15
Travis Konecny,PHI,Reserve,Boeuf_,8.75
Ridly Greig,OTT,Minors,Boeuf_,3.25
Mackie Samoskevich,FLA,Active,Boeuf_,0.775
Alex DeBrincat,DET,Reserve,Boeuf_,7.875
Vincent Trocheck,NYR,Inj Res,Boeuf_,5.625
Anthony Cirelli,TBL,Inj Res,Boeuf_,6.25
Tim Stutzle,OTT,Reserve,Boeuf_,0.775
Anthony Stolarz,TOR,Active,Boeuf_,2.5
James Hagens,BOS,Minors,Boeuf_,0.775
Ryan Nugent-Hopkins,EDM,Active,Boeuf_,5.125
Ivan Barbashev,VGK,Active,Boeuf_,5.0
Marco Rossi,MIN,Reserve,Boeuf_,5.0
Tom Wilson,WSH,Active,Boeuf_,6.5
Gustav Forsling,FLA,Active,Boeuf_,5.75
Jack Eichel,VGK,Active,Boeuf_,10.0
Malcolm Spence,NYR,Minors,Boeuf_,0.775
Thomas Harley,DAL,Active,Boeuf_,4.0
Evan Bouchard,EDM,Active,Boeuf_,10.5
Cullen Potter,CGY,Minors,Boeuf_,0.775
,,,TOTAL POUR Boeuf_,100.78
Easton Cowan,TOR,Minors,DJCarrot,0.8735
Cale Makar,COL,Active,DJCarrot,9.0
Shayne Gostisbehere,CAR,Active,DJCarrot,3.2
Cutter Gauthier,ANA,Active,DJCarrot,0.95
Jacob Markstrom,NJD,Active,DJCarrot,6.0
Benjamin Kindel,PIT,Minors,DJCarrot,0.975
Miro Heiskanen,DAL,Active,DJCarrot,8.45
Jesper Wallstedt,MIN,Minors,DJCarrot,2.2
Owen Power,BUF,Reserve,DJCarrot,8.35
Nikita Kucherov,TBL,Active,DJCarrot,9.5
Adin Hill,VGK,Active,DJCarrot,6.25
Dalibor Dvorsky,STL,Minors,DJCarrot,0.886666
Kirill Marchenko,CBJ,Active,DJCarrot,3.85
Adam Fox,NYR,Active,DJCarrot,9.5
Ivan Demidov,MTL,Reserve,DJCarrot,0.940833
Porter Martone,PHI,Minors,DJCarrot,0.775
Anton Frondell,CHI,Minors,DJCarrot,0.975
Matthew Tkachuk,FLA,Inj Res,DJCarrot,9.5
Cole Perfetti,WPG,Minors,DJCarrot,3.25
Lucas Raymond,DET,Active,DJCarrot,8.075
Lukas Dostal,ANA,Reserve,DJCarrot,6.5
Zayne Parekh,CGY,Minors,DJCarrot,0.9425
Will Smith,SJS,Active,DJCarrot,0.95
Brandon Hagel,TBL,Reserve,DJCarrot,6.5
Brady Tkachuk,OTT,Inj Res,DJCarrot,8.205714
Wyatt Johnston,DAL,Active,DJCarrot,8.4
Konsta Helenius,BUF,Minors,DJCarrot,0.9425
,,,TOTAL POUR DJCarrot,108.24
Jakub Dobes,MTL,Reserve,DaddyX23,0.965
Conor Garland,VAN,Active,DaddyX23,4.95
Brandon Montour,SEA,Active,DaddyX23,7.142857
Owen Tippett,PHI,Reserve,DaddyX23,6.2
Noah Dobson,MTL,Active,DaddyX23,9.5
Mikhail Sergachev,UTA,Active,DaddyX23,8.5
Brenden Dillon,NJD,Active,DaddyX23,4.0
Igor Shesterkin,NYR,Active,DaddyX23,11.5
Carter Bear,DET,Minors,DaddyX23,0.975
Radim Mrtka,BUF,Minors,DaddyX23,0.975
Tij Iginla,UTA,Minors,DaddyX23,0.9425
Seth Jarvis,CAR,Active,DaddyX23,7.420087
Ryan Leonard,WSH,Minors,DaddyX23,0.95
Michael Hage,MTL,Minors,DaddyX23,0.775
Artturi Lehkonen,COL,Active,DaddyX23,4.5
Mackenzie Blackwood,COL,Active,DaddyX23,5.25
Kyle Connor,WPG,Active,DaddyX23,7.142857
Kaiden Guhle,MTL,Inj Res,DaddyX23,5.55
Roger McQueen,ANA,Minors,DaddyX23,0.775
Braeden Cootes,VAN,Minors,DaddyX23,0.975
Connor McMichael,WSH,Reserve,DaddyX23,2.1
Martin Necas,COL,Active,DaddyX23,6.5
Spencer Knight,CHI,Reserve,DaddyX23,4.5
Mavrik Bourque,DAL,Minors,DaddyX23,0.95
Florian Xhekaj,MTL,Minors,DaddyX23,0.866667
Carter Verhaeghe,FLA,Active,DaddyX23,7.0
Caleb Desnoyers,UTA,Minors,DaddyX23,0.775
,,,TOTAL POUR DaddyX23,106.13
Lynden Lakovic,WSH,Minors,Doumi,0.975
Logan Hensler,OTT,Minors,Doumi,0.775
Rasmus Dahlin,BUF,Reserve,Doumi,11.0
Calum Ritchie,NYI,Minors,Doumi,0.918333
William Eklund,SJS,Minors,Doumi,0.863333
