Player,Team,Status,Cap Hit (M$)
Brady Martin,NSH,Bigdawn,0.975
Cam Fowler,STL,Bigdawn,6.5
Auston Matthews,TOR,Bigdawn,13.25
Leevi Merilainen,OTT,Bigdawn,1.05
Sam Dickinson,SJS,Bigdawn,0.9425
Jason Robertson,DAL,Bigdawn,7.75
Kashawn Aitcheson,NYI,Bigdawn,0.775
Logan Thompson,WSH,Bigdawn,5.85
Trevor Zegras,PHI,Bigdawn,5.75
Thomas Chabot,OTT,Bigdawn,8.0
Gabe Perreault,NYR,Bigdawn,0.941667
Thatcher Demko,VAN,Bigdawn,5.0
Matthew Knies,TOR,Bigdawn,7.75
JJ Peterka,UTA,Bigdawn,0.775
Lane Hutson,MTL,Bigdawn,0.95
Pavel Zacha,BOS,Bigdawn,4.75
Frank Nazar,CHI,Bigdawn,0.95
Nico Hischier,NJD,Bigdawn,7.25
Pavel Mintyukov,ANA,Bigdawn,0.918333
Dante Fabbro,CBJ,Bigdawn,4.125
Devon Levi,BUF,Bigdawn,0.8125
Esa Lindell,DAL,Bigdawn,5.25
Dylan Cozens,OTT,Bigdawn,7.1
Logan Stankoven,CAR,Bigdawn,0.814167
William Horcoff,PIT,Bigdawn,0.775
,,TOTAL POUR Bigdawn,99.00
Cullen Potter,CGY,Boeuf_,0.775
Evan Bouchard,EDM,Boeuf_,10.5
Matt Coronato,CGY,Boeuf_,6.5
Alex DeBrincat,DET,Boeuf_,7.875
Anton Lundell,FLA,Boeuf_,5.0
Ivan Barbashev,VGK,Boeuf_,5.0
John Carlson,WSH,Boeuf_,8.0
Ridly Greig,OTT,Boeuf_,3.25
Anthony Cirelli,TBL,Boeuf_,6.25
Mackie Samoskevich,FLA,Boeuf_,0.775
Travis Konecny,PHI,Boeuf_,8.75
Ryan Nugent-Hopkins,EDM,Boeuf_,5.125
Gustav Forsling,FLA,Boeuf_,5.75
James Hagens,BOS,Boeuf_,0.775
Vincent Trocheck,NYR,Boeuf_,5.625
Thomas Harley,DAL,Boeuf_,4.0
Malcolm Spence,NYR,Boeuf_,0.775
Sam Montembeault,MTL,Boeuf_,3.15
Marco Rossi,MIN,Boeuf_,5.0
Anthony Stolarz,TOR,Boeuf_,2.5
Tom Wilson,WSH,Boeuf_,6.5
Jack Eichel,VGK,Boeuf_,10.0
Tim Stutzle,OTT,Boeuf_,0.775
,,TOTAL POUR Boeuf_,112.65
Matthew Tkachuk,FLA,DJCarrot,9.5
Ivan Demidov,MTL,DJCarrot,0.940833
Miro Heiskanen,DAL,DJCarrot,8.45
Jesper Wallstedt,MIN,DJCarrot,2.2
Nikolaj Ehlers,CAR,DJCarrot,8.5
Dalibor Dvorsky,STL,DJCarrot,0.886666
Will Smith,SJS,DJCarrot,0.95
Adin Hill,VGK,DJCarrot,6.25
Brandon Hagel,TBL,DJCarrot,6.5
Adam Fox,NYR,DJCarrot,9.5
Jacob Markstrom,NJD,DJCarrot,6.0
Anton Frondell,CHI,DJCarrot,0.975
Lucas Raymond,DET,DJCarrot,8.075
Easton Cowan,TOR,DJCarrot,0.8735
